"","lane","Strain_ID","ST","species","CatA1","CatB4","CmlA1","CatA2","CatB3","Cat_pC221","CmlA5","amikacin","chloramphenicol","ciprofloxacin","cotrimoxazole","gentamicin","meropenem","IncFIA","IncFIB","IncFII","IncR","IncY","IncI1","IncX1","IncX4","IncHI1B","IncHI2A","IncI2","IncHI2","IncB","IncN","IncL","IncA","IncX2","IncFIC","IncHI1A","IncU","IncX3","CHL","Date","Lane_ID","Source_chr","Age_group_chr","Phylogroup","SC","AM","SXT","GENT","CRO","CIP","aac_6prime_Ibcr_1_DQ303918","aac3_IIa_X13543","dfrA","sul2","StrB","StrA","blaTEM1","catA","sul1","tetB","blaOXA1","blaCTXM15","tetA","mphA_1_D16251","aph3","QnrB1","blaSCO1","floR","aadA2","catB","blaSHV12","blaOXA10","blaSHV1","qepA","cmlA1","FIB","FIA","X1","X4","I1","K","A.C","B.O","FII.K","HI2","HI3","HI4","HI5","HI6","X","lstm.KLEB","ENA_Accession","Lane","Year","Source","Age_group","Clade","AMP","CHLO","COTRIM...sulfonamide...trime","CEFTR","CIPRO...FQ","GENT...aminoglycos","fosA","oqxA_1_EU370913.Efflux","oqxB_1_EU370913","Sul2","aac.6..","strB","strA","blaCTXM15_23_DQ302097","Sul1","C_tetD","blaSHV11","blaSHV28","ARR","alph3","QnrB","floR_2","QnrS1","blaSCO1_EF063111","blaOXA9","blaSHV26_1_A","blaOKPB","ereA_2_AF099140","blaTEM63","blaSHV7","blaLEN16_1_AY743416","blaLEN25_1_HQ709169","blaSHV133","blaSHV25","blaSHV27","blaSHV36","blaSHV37","No_of_genes"
"11","26141_1_144","CAD137","10","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","26141_1_145","CAE12R","46","E. coli",0,0,0,0,1,0,0,"Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","26141_1_146","CAL10S","656","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","26141_1_147","CAM10R","656","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Sensitive","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","26141_1_148","CAM10K","443","E. coli",1,0,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","26141_1_149","CAC126","1237","E. coli",1,1,0,0,0,0,0,"Sensitive","Resistant","Sensitive","Resistant","Resistant","Sensitive",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","26141_1_150","CAB13C","131","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","26141_1_151","CAC124","131","E. coli",0,1,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","26141_1_152","CAD13N","410","E. coli",0,1,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","26141_1_153","CAE12K","131","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","26141_1_154","CAC122","101","E. coli",0,0,1,0,0,1,0,"Sensitive","Resistant","Sensitive","Sensitive","Sensitive","Sensitive",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","26141_1_155","CAE12H","443","E. coli",1,0,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","26141_1_156","CAB139","131","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Sensitive","Sensitive",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","26141_1_157","CAC123","410","E. coli",0,1,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","26141_1_158","CAD134","391","E. coli",1,0,0,0,0,0,0,"Sensitive","Resistant","Resistant","Resistant","Sensitive","Sensitive",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","26141_1_159","CAE12L","44","E. coli",0,1,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","26141_1_160","CAD13K","636","E. coli",0,0,0,0,0,0,0,"Sensitive","Sensitive","Sensitive","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","26141_1_161","CAE12F","44","E. coli",0,1,0,0,0,0,0,"Sensitive","Sensitive","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","26141_1_162","CAC11X","617","E. coli",1,1,0,0,0,0,0,"Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","26141_1_164","CAB13L","46","E. coli",0,0,0,0,1,0,0,"Sensitive","Resistant","Resistant","Resistant","Resistant","Sensitive",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
