lane,lab_id,study,species,#ariba_ref_name,ref_name,gene,var_only,flag,reads,cluster,ref_len,ref_base_assembled,pc_ident,ctg,ctg_len,ctg_cov,known_var,var_type,var_seq_type,known_var_change,has_known_var,ref_ctg_change,ref_ctg_effect,ref_start,ref_end,ref_nt,ctg_start,ctg_end,ctg_nt,smtls_total_depth,smtls_nts,smtls_nts_depth,var_description,free_text
26141_1_144,CAD137,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_145,CAE12R,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,100,catB3,633,633,100,catB3.l15.c4.ctg.1,1478,10.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_146,CAL10S,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_147,CAM10R,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_148,CAM10K,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_149,CAC126,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,430,catB3,633,442,100,catB3.l15.c4.ctg.1,1632,39.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_150,CAB13C,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_151,CAC124,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,240,catB3,633,442,100,catB3.l15.c4.ctg.1,1414,25.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_152,CAD13N,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,1292,catB3,633,442,100,catB3.l15.c30.ctg.1,1631,119,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_153,CAE12K,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_154,CAC122,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_155,CAE12H,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_156,CAB139,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_157,CAC123,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,142,catB3,633,442,100,catB3.l6.c4.ctg.1,1280,16.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_158,CAD134,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,128,catB3,633,250,100,catB3.l15.c4.ctg.1,1344,14.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_159,CAE12L,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,176,catB3,633,442,100,catB3.l15.c4.ctg.1,1256,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_160,CAD13K,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_161,CAE12F,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,320,catB3,633,442,100,catB3.l6.c4.ctg.1,1397,33.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_162,CAC11X,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,160,catB3,633,442,100,catB3.l15.c4.ctg.1,1347,17.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_164,CAB13L,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,250,catB3,633,633,100,catB3.l15.c4.ctg.1,1493,24.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_165,CAC11F,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,232,catB3,633,633,100,catB3.l15.c4.ctg.1,1583,21.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_166,CAD13J,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_168,CAM10H,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_169,CAB13I,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,386,catB3,633,442,100,catB3.l15.c4.ctg.1,1488,39.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_170,CAD12Z,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,148,catB3,633,442,100,catB3.l6.c4.ctg.1,1405,15.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_171,CAC11W,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,134,catB3,633,442,100,catB3.l15.c4.ctg.1,1291,15.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_172,CAC11C,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_173,CAD115,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_174,CAE110,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_175,CAC119,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_176,CAE10Z,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_177,CAB12F,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_178,CAC11D,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,338,catB3,633,442,100,catB3.l15.c4.ctg.1,1432,35.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_179,CAD113,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_180,CAE116,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_181,CAH108,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,274,catB3,633,442,100,catB3.l15.c4.ctg.1,1430,28.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_182,CAI107,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_183,CAJ105,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_184,CAG10D,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_186,CAB12D,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_187,CAC116,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_189,CAC117,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,344,catB3,633,442,100,catB3.l15.c4.ctg.1,1328,38.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_190,CAD10X,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,358,catB3,633,442,100,catB3.l15.c4.ctg.1,1514,35.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_191,CAJ102,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_192,CAG106,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_193,CAH103,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_194,CAI109,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_195,CAJ109,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_196,CAM107,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_197,CAM10B,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_198,CAB11F,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_199,CAC10Y,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_200,CAE10Q,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_201,CAC110,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,358,catB3,633,442,100,catB3.l15.c4.ctg.1,1439,37.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_202,CAD10T,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_203,CAE10N,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_204,CAG10A,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,362,catB3,633,633,100,catB3.l15.c4.ctg.1,1712,31.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_205,CAI104,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,280,catB3,633,633,100,catB3.l6.c30.ctg.1,1663,25.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_206,CAB11K,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,364,catB3,633,442,100,catB3.l6.c17.ctg.1,1365,40.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_207,CAE10T,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_208,CAF10N,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_209,CAC111,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,292,catB3,633,442,100,catB3.l15.c4.ctg.1,1352,32.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_210,CAE10P,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,346,catB3,633,442,100,catB3.l6.c4.ctg.1,1506,34.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_211,CAF10J,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_212,CAL108,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,27,232,catB3,633,633,100,catB3.l15.c4.ctg.1,1844,18.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"catB3;b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.'"
26141_1_213,CAM108,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_214,CAE10V,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_215,CAC10V,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_217,CAF10G,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_218,CAC10X,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_219,CAD10M,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,336,catB3,633,442,100,catB3.l15.c4.ctg.1,1582,32.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_220,CAF10K,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_221,CAG104,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,260,catB3,633,442,100,catB3.l15.c17.ctg.1,1501,25.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_222,CAH101,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,182,catB3,633,442,100,catB3.l15.c4.ctg.1,1452,18.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_223,CAI101,DASSIM,E. coli,catB3.3002676.JX101693.1.58200_58833.5450,catB3.3002676.JX101693.1.58200_58833.5450,1,0,16,124,catB3,633,442,100,catB3.l6.c4.ctg.1,1165,15.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"b'catB3 is a plasmid or chromosome-encoded variant of the cat gene found in Salmonella typhimurium, Acinetobacter baumannii and Escherichia coli.';catB3"
26141_1_224,CAC10Z,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_225,CAD10Q,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_226,CAE10S,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26141_1_227,CAB11R,DASSIM,E. coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
